,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
0,0.21041186915194685,0.2,,0.07315501110678221,,,Component-Whole,,P(E|C),bert
1,0.2072296358904619,0.2,,0.07114568392449475,,,Component-Whole,,P(E),bert
2,0.2019320703191671,0.2,,0.06785616916780765,,,Component-Whole,,probabilistic_causality_diff,bert
3,0.2019320703191671,0.2,,0.06785616916780765,,,Component-Whole,,delta_P,bert
4,0.20086021505376345,0.2,,0.06719662058371736,,,Component-Whole,,P(E|no C),bert
5,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,q,bert
6,0.20086021505376345,0.2,,0.06719662058371736,,,Component-Whole,,p,bert
7,0.1997838327250092,0.2,,0.06653588445568233,,,Component-Whole,,causal_power,bert
8,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,PMI,bert
9,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,PPMI,bert
10,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,CPMI_-2,bert
11,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,NPMI,bert
12,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,NNEGPMI,bert
13,0.20297783828593774,0.2,,0.06850000257100405,,,Component-Whole,,P(C|E),bert
14,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,causal_stength_nec,bert
15,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,causal_stength_suf,bert
16,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,causal_stength_0.5,bert
17,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,causal_stength_0.7,bert
18,0.2019320703191671,0.2,,0.06785616916780765,,,Component-Whole,,causal_stength_0.9,bert
19,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,causal_stength_1.0,bert
20,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,avg_freq_uni,bert
21,0.19978494623655915,0.2,,0.06653551280196732,,,Component-Whole,,avg_freq_bi,bert
22,0.2003806594251658,0.2,,0.06690368088712184,,,Instrument-Agency,,P(E|C),bert
23,0.2003806594251658,0.2,,0.06690368088712184,,,Instrument-Agency,,P(E),bert
24,0.2003926161846954,0.2,,0.0669093058004161,,,Instrument-Agency,,probabilistic_causality_diff,bert
25,0.20237281420449738,0.2,,0.06813294530296546,,,Instrument-Agency,,delta_P,bert
26,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,P(E|no C),bert
27,0.2003926161846954,0.2,,0.0669093058004161,,,Instrument-Agency,,q,bert
28,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,p,bert
29,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,causal_power,bert
30,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,PMI,bert
31,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,PPMI,bert
32,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,CPMI_-2,bert
33,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,NPMI,bert
34,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,NNEGPMI,bert
35,0.21228537805236836,0.2,,0.07434926850143089,,,Instrument-Agency,,P(C|E),bert
36,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,causal_stength_nec,bert
37,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,causal_stength_suf,bert
38,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,causal_stength_0.5,bert
39,0.20038461538461538,0.2,,0.06690256410256412,,,Instrument-Agency,,causal_stength_0.7,bert
