,metric,relation,split,value,y_type,model
0,accuracy,Cause-Effect,dev,0.3157894736842105,P(E|C),bert
1,accuracy,Cause-Effect,test,0.2,P(E|C),bert
2,accuracy,Cause-Effect,dev,0.2631578947368421,P(E|C),bert
3,accuracy,Cause-Effect,test,0.16,P(E|C),bert
4,accuracy,Cause-Effect,dev,0.3684210526315789,P(E|C),bert
5,accuracy,Cause-Effect,test,0.3877551020408163,P(E|C),bert
6,accuracy,Cause-Effect,dev,0.3333333333333333,P(E|C),bert
7,accuracy,Cause-Effect,test,0.15555555555555556,P(E|C),bert
8,accuracy,Cause-Effect,dev,0.358974358974359,P(E|C),bert
9,accuracy,Cause-Effect,test,0.35555555555555557,P(E|C),bert
10,accuracy,Cause-Effect,dev,0.2631578947368421,P(E),bert
11,accuracy,Cause-Effect,test,0.3333333333333333,P(E),bert
12,accuracy,Cause-Effect,dev,0.23684210526315788,P(E),bert
13,accuracy,Cause-Effect,test,0.2857142857142857,P(E),bert
14,accuracy,Cause-Effect,dev,0.3333333333333333,P(E),bert
15,accuracy,Cause-Effect,test,0.2553191489361702,P(E),bert
16,accuracy,Cause-Effect,dev,0.3333333333333333,P(E),bert
17,accuracy,Cause-Effect,test,0.17391304347826086,P(E),bert
18,accuracy,Cause-Effect,dev,0.20512820512820512,P(E),bert
19,accuracy,Cause-Effect,test,0.3695652173913043,P(E),bert
20,accuracy,Cause-Effect,dev,0.39473684210526316,probabilistic_causality_diff,bert
21,accuracy,Cause-Effect,test,0.24,probabilistic_causality_diff,bert
22,accuracy,Cause-Effect,dev,0.3157894736842105,probabilistic_causality_diff,bert
23,accuracy,Cause-Effect,test,0.26,probabilistic_causality_diff,bert
24,accuracy,Cause-Effect,dev,0.4473684210526316,probabilistic_causality_diff,bert
25,accuracy,Cause-Effect,test,0.20408163265306123,probabilistic_causality_diff,bert
26,accuracy,Cause-Effect,dev,0.358974358974359,probabilistic_causality_diff,bert
27,accuracy,Cause-Effect,test,0.28888888888888886,probabilistic_causality_diff,bert
28,accuracy,Cause-Effect,dev,0.3076923076923077,probabilistic_causality_diff,bert
