,metric,split,value,relation,y_type,model
0,accuracy,dev,0.23076923076923078,Cause-Effect,P(E|C),bert
1,accuracy,test,0.2708333333333333,Cause-Effect,P(E|C),bert
2,accuracy,dev,0.3076923076923077,Cause-Effect,P(E|C),bert
3,accuracy,test,0.2708333333333333,Cause-Effect,P(E|C),bert
4,accuracy,dev,0.2564102564102564,Cause-Effect,P(E|C),bert
5,accuracy,test,0.25,Cause-Effect,P(E|C),bert
6,accuracy,dev,0.3333333333333333,Cause-Effect,P(E|C),bert
7,accuracy,test,0.14583333333333334,Cause-Effect,P(E|C),bert
8,accuracy,dev,0.3076923076923077,Cause-Effect,P(E|C),bert
9,accuracy,test,0.1702127659574468,Cause-Effect,P(E|C),bert
10,accuracy,dev,0.4,Cause-Effect,P(E),bert
11,accuracy,test,0.24489795918367346,Cause-Effect,P(E),bert
12,accuracy,dev,0.3,Cause-Effect,P(E),bert
13,accuracy,test,0.2653061224489796,Cause-Effect,P(E),bert
14,accuracy,dev,0.3,Cause-Effect,P(E),bert
15,accuracy,test,0.30612244897959184,Cause-Effect,P(E),bert
16,accuracy,dev,0.325,Cause-Effect,P(E),bert
17,accuracy,test,0.2653061224489796,Cause-Effect,P(E),bert
18,accuracy,dev,0.3,Cause-Effect,P(E),bert
19,accuracy,test,0.3469387755102041,Cause-Effect,P(E),bert
20,accuracy,dev,0.3076923076923077,Cause-Effect,probabilistic_causality_diff,bert
21,accuracy,test,0.2708333333333333,Cause-Effect,probabilistic_causality_diff,bert
22,accuracy,dev,0.3076923076923077,Cause-Effect,probabilistic_causality_diff,bert
23,accuracy,test,0.22916666666666666,Cause-Effect,probabilistic_causality_diff,bert
24,accuracy,dev,0.3333333333333333,Cause-Effect,probabilistic_causality_diff,bert
25,accuracy,test,0.2916666666666667,Cause-Effect,probabilistic_causality_diff,bert
26,accuracy,dev,0.41025641025641024,Cause-Effect,probabilistic_causality_diff,bert
27,accuracy,test,0.2708333333333333,Cause-Effect,probabilistic_causality_diff,bert
28,accuracy,dev,0.38461538461538464,Cause-Effect,probabilistic_causality_diff,bert
29,accuracy,test,0.23404255319148937,Cause-Effect,probabilistic_causality_diff,bert
30,accuracy,dev,0.3076923076923077,Cause-Effect,delta_P,bert
31,accuracy,test,0.2708333333333333,Cause-Effect,delta_P,bert
32,accuracy,dev,0.3076923076923077,Cause-Effect,delta_P,bert
33,accuracy,test,0.22916666666666666,Cause-Effect,delta_P,bert
34,accuracy,dev,0.3333333333333333,Cause-Effect,delta_P,bert
35,accuracy,test,0.2916666666666667,Cause-Effect,delta_P,bert
36,accuracy,dev,0.41025641025641024,Cause-Effect,delta_P,bert
37,accuracy,test,0.2708333333333333,Cause-Effect,delta_P,bert
38,accuracy,dev,0.38461538461538464,Cause-Effect,delta_P,bert
39,accuracy,test,0.23404255319148937,Cause-Effect,delta_P,bert
40,accuracy,dev,0.375,Cause-Effect,P(E|no C),bert
41,accuracy,test,0.32653061224489793,Cause-Effect,P(E|no C),bert
42,accuracy,dev,0.325,Cause-Effect,P(E|no C),bert
43,accuracy,test,0.32653061224489793,Cause-Effect,P(E|no C),bert
44,accuracy,dev,0.25,Cause-Effect,P(E|no C),bert
45,accuracy,test,0.32653061224489793,Cause-Effect,P(E|no C),bert
46,accuracy,dev,0.325,Cause-Effect,P(E|no C),bert
47,accuracy,test,0.22448979591836735,Cause-Effect,P(E|no C),bert
48,accuracy,dev,0.375,Cause-Effect,P(E|no C),bert
49,accuracy,test,0.24489795918367346,Cause-Effect,P(E|no C),bert
50,accuracy,dev,0.3076923076923077,Cause-Effect,q,bert
51,accuracy,test,0.2708333333333333,Cause-Effect,q,bert
52,accuracy,dev,0.3076923076923077,Cause-Effect,q,bert
53,accuracy,test,0.22916666666666666,Cause-Effect,q,bert
54,accuracy,dev,0.3333333333333333,Cause-Effect,q,bert
55,accuracy,test,0.2916666666666667,Cause-Effect,q,bert
56,accuracy,dev,0.41025641025641024,Cause-Effect,q,bert
57,accuracy,test,0.2708333333333333,Cause-Effect,q,bert
58,accuracy,dev,0.38461538461538464,Cause-Effect,q,bert
59,accuracy,test,0.23404255319148937,Cause-Effect,q,bert
60,accuracy,dev,0.35,Cause-Effect,p,bert
61,accuracy,test,0.1836734693877551,Cause-Effect,p,bert
62,accuracy,dev,0.225,Cause-Effect,p,bert
63,accuracy,test,0.3469387755102041,Cause-Effect,p,bert
64,accuracy,dev,0.275,Cause-Effect,p,bert
65,accuracy,test,0.30612244897959184,Cause-Effect,p,bert
66,accuracy,dev,0.275,Cause-Effect,p,bert
67,accuracy,test,0.30612244897959184,Cause-Effect,p,bert
68,accuracy,dev,0.325,Cause-Effect,p,bert
69,accuracy,test,0.22448979591836735,Cause-Effect,p,bert
70,accuracy,dev,0.41025641025641024,Cause-Effect,causal_power,bert
71,accuracy,test,0.16666666666666666,Cause-Effect,causal_power,bert
72,accuracy,dev,0.3333333333333333,Cause-Effect,causal_power,bert
73,accuracy,test,0.2916666666666667,Cause-Effect,causal_power,bert
74,accuracy,dev,0.20512820512820512,Cause-Effect,causal_power,bert
75,accuracy,test,0.3541666666666667,Cause-Effect,causal_power,bert
76,accuracy,dev,0.3076923076923077,Cause-Effect,causal_power,bert
77,accuracy,test,0.2708333333333333,Cause-Effect,causal_power,bert
78,accuracy,dev,0.28205128205128205,Cause-Effect,causal_power,bert
79,accuracy,test,0.23404255319148937,Cause-Effect,causal_power,bert
80,accuracy,dev,0.2631578947368421,Cause-Effect,PMI,bert
81,accuracy,test,0.2765957446808511,Cause-Effect,PMI,bert
82,accuracy,dev,0.3684210526315789,Cause-Effect,PMI,bert
83,accuracy,test,0.23404255319148937,Cause-Effect,PMI,bert
84,accuracy,dev,0.4473684210526316,Cause-Effect,PMI,bert
85,accuracy,test,0.23404255319148937,Cause-Effect,PMI,bert
86,accuracy,dev,0.21052631578947367,Cause-Effect,PMI,bert
87,accuracy,test,0.2978723404255319,Cause-Effect,PMI,bert
88,accuracy,dev,0.3157894736842105,Cause-Effect,PMI,bert
89,accuracy,test,0.23404255319148937,Cause-Effect,PMI,bert
90,accuracy,dev,0.2631578947368421,Cause-Effect,CPMI_-2,bert
91,accuracy,test,0.2765957446808511,Cause-Effect,CPMI_-2,bert
92,accuracy,dev,0.3684210526315789,Cause-Effect,CPMI_-2,bert
93,accuracy,test,0.23404255319148937,Cause-Effect,CPMI_-2,bert
94,accuracy,dev,0.4473684210526316,Cause-Effect,CPMI_-2,bert
95,accuracy,test,0.23404255319148937,Cause-Effect,CPMI_-2,bert
96,accuracy,dev,0.21052631578947367,Cause-Effect,CPMI_-2,bert
97,accuracy,test,0.2978723404255319,Cause-Effect,CPMI_-2,bert
98,accuracy,dev,0.3157894736842105,Cause-Effect,CPMI_-2,bert
99,accuracy,test,0.23404255319148937,Cause-Effect,CPMI_-2,bert
100,accuracy,dev,0.32432432432432434,Cause-Effect,NPMI,bert
101,accuracy,test,0.32608695652173914,Cause-Effect,NPMI,bert
102,accuracy,dev,0.2702702702702703,Cause-Effect,NPMI,bert
103,accuracy,test,0.34782608695652173,Cause-Effect,NPMI,bert
104,accuracy,dev,0.3783783783783784,Cause-Effect,NPMI,bert
105,accuracy,test,0.28888888888888886,Cause-Effect,NPMI,bert
106,accuracy,dev,0.43243243243243246,Cause-Effect,NPMI,bert
107,accuracy,test,0.24444444444444444,Cause-Effect,NPMI,bert
108,accuracy,dev,0.24324324324324326,Cause-Effect,NPMI,bert
109,accuracy,test,0.3333333333333333,Cause-Effect,NPMI,bert
110,accuracy,dev,0.3783783783783784,Cause-Effect,NNEGPMI,bert
111,accuracy,test,0.391304347826087,Cause-Effect,NNEGPMI,bert
112,accuracy,dev,0.2972972972972973,Cause-Effect,NNEGPMI,bert
113,accuracy,test,0.30434782608695654,Cause-Effect,NNEGPMI,bert
114,accuracy,dev,0.35135135135135137,Cause-Effect,NNEGPMI,bert
115,accuracy,test,0.35555555555555557,Cause-Effect,NNEGPMI,bert
116,accuracy,dev,0.40540540540540543,Cause-Effect,NNEGPMI,bert
117,accuracy,test,0.26666666666666666,Cause-Effect,NNEGPMI,bert
118,accuracy,dev,0.24324324324324326,Cause-Effect,NNEGPMI,bert
119,accuracy,test,0.35555555555555557,Cause-Effect,NNEGPMI,bert
120,accuracy,dev,0.28205128205128205,Cause-Effect,P(C|E),bert
121,accuracy,test,0.1836734693877551,Cause-Effect,P(C|E),bert
122,accuracy,dev,0.23076923076923078,Cause-Effect,P(C|E),bert
123,accuracy,test,0.16666666666666666,Cause-Effect,P(C|E),bert
124,accuracy,dev,0.2564102564102564,Cause-Effect,P(C|E),bert
125,accuracy,test,0.22916666666666666,Cause-Effect,P(C|E),bert
126,accuracy,dev,0.3333333333333333,Cause-Effect,P(C|E),bert
127,accuracy,test,0.1875,Cause-Effect,P(C|E),bert
128,accuracy,dev,0.2564102564102564,Cause-Effect,P(C|E),bert
129,accuracy,test,0.22916666666666666,Cause-Effect,P(C|E),bert
130,accuracy,dev,0.3157894736842105,Cause-Effect,causal_stength_nec,bert
131,accuracy,test,0.23404255319148937,Cause-Effect,causal_stength_nec,bert
132,accuracy,dev,0.34210526315789475,Cause-Effect,causal_stength_nec,bert
133,accuracy,test,0.2127659574468085,Cause-Effect,causal_stength_nec,bert
134,accuracy,dev,0.3157894736842105,Cause-Effect,causal_stength_nec,bert
135,accuracy,test,0.2553191489361702,Cause-Effect,causal_stength_nec,bert
136,accuracy,dev,0.18421052631578946,Cause-Effect,causal_stength_nec,bert
137,accuracy,test,0.2765957446808511,Cause-Effect,causal_stength_nec,bert
138,accuracy,dev,0.3157894736842105,Cause-Effect,causal_stength_nec,bert
139,accuracy,test,0.3617021276595745,Cause-Effect,causal_stength_nec,bert
140,accuracy,dev,0.2631578947368421,Cause-Effect,causal_stength_suf,bert
141,accuracy,test,0.2978723404255319,Cause-Effect,causal_stength_suf,bert
142,accuracy,dev,0.2894736842105263,Cause-Effect,causal_stength_suf,bert
143,accuracy,test,0.3404255319148936,Cause-Effect,causal_stength_suf,bert
144,accuracy,dev,0.2894736842105263,Cause-Effect,causal_stength_suf,bert
145,accuracy,test,0.1702127659574468,Cause-Effect,causal_stength_suf,bert
146,accuracy,dev,0.2894736842105263,Cause-Effect,causal_stength_suf,bert
147,accuracy,test,0.3829787234042553,Cause-Effect,causal_stength_suf,bert
148,accuracy,dev,0.3684210526315789,Cause-Effect,causal_stength_suf,bert
149,accuracy,test,0.2978723404255319,Cause-Effect,causal_stength_suf,bert
