,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
0,0.9925700174761503,0.5,0.0,,0.0,0.0,Component-Whole,0.3066183658214019,causal_dependency,bert
1,0.22726665875602045,0.22376501444791025,,0.224338558394704,,,Component-Whole,,P(E|C),bert
2,0.24863452491935462,0.2452367172217414,,0.24818763198663882,,,Component-Whole,,P(E),bert
3,0.22694259624650118,0.22697012802275957,,0.2256250105320537,,,Component-Whole,,probabilistic_causality_diff,bert
4,0.22694259624650118,0.22697012802275957,,0.2256250105320537,,,Component-Whole,,delta_P,bert
5,0.25819575092919744,0.2582076813655761,,0.2573287159832224,,,Component-Whole,,P(E|no C),bert
6,0.23233429642098374,0.23231863442389758,,0.2326012808100339,,,Component-Whole,,q,bert
7,0.2621455071370182,0.26213371266002844,,0.2589346829853752,,,Component-Whole,,p,bert
8,0.2452467884593356,0.2451209103840683,,0.24164238148267075,,,Component-Whole,,causal_power,bert
9,0.968801719614906,0.5110401459854014,0.04444444444444444,,0.2,0.025,Other,0.6680243620937052,causal_dependency,bert
10,0.23050233710889553,0.22707715610453727,,0.2296351315149352,,,Other,,P(E|C),bert
11,0.26240307569800425,0.25922706294404413,,0.26018640542920707,,,Other,,P(E),bert
12,0.23126831790518346,0.231265664160401,,0.2292734323889134,,,Other,,probabilistic_causality_diff,bert
13,0.23126831790518346,0.231265664160401,,0.2292734323889134,,,Other,,delta_P,bert
14,0.26234121559369145,0.26249429215672404,,0.2602439964309152,,,Other,,P(E|no C),bert
15,0.22839860917392976,0.22842105263157894,,0.22663788983120373,,,Other,,q,bert
16,0.23969924812030072,0.23969924812030072,,0.23883773472568093,,,Other,,p,bert
17,0.23971177944862151,0.23971177944862157,,0.2388362869233152,,,Other,,causal_power,bert
18,0.9623137254901961,0.4979381443298969,0.0,,0.0,0.0,Instrument-Agency,0.64969668279683,causal_dependency,bert
19,0.2159566899008576,0.21336807928913193,,0.20997251247553747,,,Instrument-Agency,,P(E|C),bert
