,metric,value,model
0,accuracy,0.9894179894179894,bert
1,accuracy,0.9894179894179894,bert
2,accuracy,0.9893617021276596,bert
3,accuracy,0.9946808510638298,bert
4,accuracy,0.9893048128342246,bert
5,balanced_accuracy,0.5,bert
6,balanced_accuracy,0.5,bert
7,balanced_accuracy,0.49732620320855614,bert
8,balanced_accuracy,0.5,bert
9,balanced_accuracy,0.49731182795698925,bert
10,f1,0.0,bert
11,f1,0.0,bert
12,f1,0.0,bert
13,f1,0.0,bert
14,f1,0.0,bert
15,precision,0.0,bert
16,precision,0.0,bert
17,precision,0.0,bert
18,precision,0.0,bert
19,precision,0.0,bert
20,recall,0.0,bert
21,recall,0.0,bert
22,recall,0.0,bert
23,recall,0.0,bert
24,recall,0.0,bert
25,roc_auc,0.39304812834224595,bert
26,roc_auc,0.2593582887700535,bert
27,roc_auc,0.2192513368983957,bert
28,roc_auc,0.4385026737967914,bert
29,roc_auc,0.15591397849462363,bert
30,accuracy,0.3,bert
31,accuracy,0.20634920634920634,bert
32,accuracy,0.20105820105820105,bert
33,accuracy,0.20212765957446807,bert
34,accuracy,0.1945945945945946,bert
35,balanced_accuracy,0.2934053884711779,bert
36,balanced_accuracy,0.20526751120978623,bert
37,balanced_accuracy,0.20173261938966522,bert
38,balanced_accuracy,0.19945137612535846,bert
39,balanced_accuracy,0.1940335507149868,bert
40,f1_weighted,0.29597322182461505,bert
41,f1_weighted,0.2074803683831714,bert
42,f1_weighted,0.19912167333006983,bert
43,f1_weighted,0.20044403746191378,bert
44,f1_weighted,0.193714749480426,bert
45,accuracy,0.23684210526315788,bert
46,accuracy,0.28421052631578947,bert
47,accuracy,0.20634920634920634,bert
48,accuracy,0.28342245989304815,bert
49,accuracy,0.22162162162162163,bert
50,balanced_accuracy,0.23398003970759387,bert
51,balanced_accuracy,0.27804443903515114,bert
52,balanced_accuracy,0.20781283676020518,bert
53,balanced_accuracy,0.28277622231110605,bert
54,balanced_accuracy,0.21784977366372713,bert
55,f1_weighted,0.2379711415108513,bert
56,f1_weighted,0.28125187246240174,bert
57,f1_weighted,0.20560444712343448,bert
58,f1_weighted,0.2826883261594732,bert
59,f1_weighted,0.22495875697265832,bert
60,accuracy,0.3105263157894737,bert
61,accuracy,0.22105263157894736,bert
62,accuracy,0.21578947368421053,bert
63,accuracy,0.22580645161290322,bert
64,accuracy,0.15675675675675677,bert
65,balanced_accuracy,0.3105263157894737,bert
66,balanced_accuracy,0.22105263157894733,bert
67,balanced_accuracy,0.21578947368421048,bert
68,balanced_accuracy,0.2260312944523471,bert
69,balanced_accuracy,0.15675675675675677,bert
70,f1_weighted,0.3141812761125624,bert
71,f1_weighted,0.22018092090811356,bert
72,f1_weighted,0.21382904856075588,bert
73,f1_weighted,0.22390407253724182,bert
74,f1_weighted,0.15624967916015572,bert
75,accuracy,0.3105263157894737,bert
76,accuracy,0.22105263157894736,bert
77,accuracy,0.21578947368421053,bert
78,accuracy,0.22580645161290322,bert
79,accuracy,0.15675675675675677,bert
80,balanced_accuracy,0.3105263157894737,bert
81,balanced_accuracy,0.22105263157894733,bert
82,balanced_accuracy,0.21578947368421048,bert
83,balanced_accuracy,0.2260312944523471,bert
84,balanced_accuracy,0.15675675675675677,bert
85,f1_weighted,0.3141812761125624,bert
86,f1_weighted,0.22018092090811356,bert
87,f1_weighted,0.21382904856075588,bert
88,f1_weighted,0.22390407253724182,bert
89,f1_weighted,0.15624967916015572,bert
90,accuracy,0.24736842105263157,bert
91,accuracy,0.25263157894736843,bert
92,accuracy,0.2736842105263158,bert
93,accuracy,0.2903225806451613,bert
94,accuracy,0.22162162162162163,bert
95,balanced_accuracy,0.2473684210526316,bert
96,balanced_accuracy,0.25263157894736843,bert
97,balanced_accuracy,0.2736842105263158,bert
98,balanced_accuracy,0.29046941678520627,bert
99,balanced_accuracy,0.22162162162162166,bert
100,f1_weighted,0.24770986063668995,bert
101,f1_weighted,0.2514194559846734,bert
102,f1_weighted,0.2719131337485768,bert
103,f1_weighted,0.2905578550876673,bert
104,f1_weighted,0.222897850027444,bert
105,accuracy,0.3,bert
106,accuracy,0.24736842105263157,bert
107,accuracy,0.20105820105820105,bert
108,accuracy,0.22459893048128343,bert
109,accuracy,0.14594594594594595,bert
110,balanced_accuracy,0.3,bert
111,balanced_accuracy,0.2473684210526316,bert
112,balanced_accuracy,0.20071123755334286,bert
113,balanced_accuracy,0.22503556187766716,bert
114,balanced_accuracy,0.14594594594594595,bert
115,f1_weighted,0.30556915765716475,bert
116,f1_weighted,0.24673623740919967,bert
117,f1_weighted,0.20066946920828205,bert
118,f1_weighted,0.22358514170568167,bert
119,f1_weighted,0.1465003156124568,bert
120,accuracy,0.2578947368421053,bert
121,accuracy,0.2789473684210526,bert
122,accuracy,0.291005291005291,bert
123,accuracy,0.27956989247311825,bert
124,accuracy,0.16666666666666666,bert
125,balanced_accuracy,0.25789473684210523,bert
126,balanced_accuracy,0.2789473684210526,bert
127,balanced_accuracy,0.29075391180654336,bert
128,balanced_accuracy,0.2795163584637269,bert
129,balanced_accuracy,0.16685633001422479,bert
130,f1_weighted,0.25671757044994165,bert
131,f1_weighted,0.27376645854288045,bert
132,f1_weighted,0.2851886678195746,bert
133,f1_weighted,0.279212306273789,bert
134,f1_weighted,0.1661077881889148,bert
135,accuracy,0.2578947368421053,bert
136,accuracy,0.24736842105263157,bert
137,accuracy,0.26595744680851063,bert
138,accuracy,0.26737967914438504,bert
139,accuracy,0.16129032258064516,bert
140,balanced_accuracy,0.25789473684210523,bert
141,balanced_accuracy,0.2473684210526316,bert
142,balanced_accuracy,0.265149359886202,bert
143,balanced_accuracy,0.2678520625889047,bert
144,balanced_accuracy,0.1613086770981508,bert
145,f1_weighted,0.2561150611587973,bert
146,f1_weighted,0.24162625220242753,bert
147,f1_weighted,0.2607713925794447,bert
148,f1_weighted,0.26765919418265083,bert
149,f1_weighted,0.16181621847934832,bert
150,accuracy,0.9293286219081273,bert
151,accuracy,0.9326241134751773,bert
152,accuracy,0.9184397163120568,bert
153,accuracy,0.9539007092198581,bert
154,accuracy,0.9644128113879004,bert
155,balanced_accuracy,0.47992700729927007,bert
156,balanced_accuracy,0.5406021897810219,bert
157,balanced_accuracy,0.5333029197080292,bert
158,balanced_accuracy,0.6729014598540146,bert
159,balanced_accuracy,0.6176739926739927,bert
160,f1,0.0,bert
161,f1,0.09523809523809525,bert
162,f1,0.07999999999999999,bert
163,f1,0.3157894736842105,bert
164,f1,0.28571428571428575,bert
165,precision,0.0,bert
166,precision,0.07692307692307693,bert
167,precision,0.058823529411764705,bert
168,precision,0.2727272727272727,bert
169,precision,0.3333333333333333,bert
170,recall,0.0,bert
171,recall,0.125,bert
172,recall,0.125,bert
173,recall,0.375,bert
174,recall,0.25,bert
175,roc_auc,0.545823195458232,bert
176,roc_auc,0.5396897810218978,bert
177,roc_auc,0.7317518248175182,bert
178,roc_auc,0.8499087591240876,bert
179,roc_auc,0.6698717948717949,bert
180,accuracy,0.2323943661971831,bert
181,accuracy,0.22695035460992907,bert
182,accuracy,0.24822695035460993,bert
183,accuracy,0.22419928825622776,bert
184,accuracy,0.20640569395017794,bert
185,balanced_accuracy,0.23573745691604672,bert
186,balanced_accuracy,0.22001731267432198,bert
187,balanced_accuracy,0.24680768568155895,bert
188,balanced_accuracy,0.2270794766021576,bert
