,metric,relation,split,value,y_type,model
0,accuracy,Component-Whole,dev,0.9933774834437086,causal_dependency,bert
1,accuracy,Component-Whole,test,0.9894179894179894,causal_dependency,bert
2,accuracy,Component-Whole,dev,1.0,causal_dependency,bert
3,accuracy,Component-Whole,test,0.9894179894179894,causal_dependency,bert
4,accuracy,Component-Whole,dev,1.0,causal_dependency,bert
5,accuracy,Component-Whole,test,0.9946808510638298,causal_dependency,bert
6,accuracy,Component-Whole,dev,0.9933774834437086,causal_dependency,bert
7,accuracy,Component-Whole,test,0.9946808510638298,causal_dependency,bert
8,accuracy,Component-Whole,dev,0.9933774834437086,causal_dependency,bert
9,accuracy,Component-Whole,test,0.9946524064171123,causal_dependency,bert
10,accuracy,Component-Whole,dev,0.23841059602649006,P(E|C),bert
11,accuracy,Component-Whole,test,0.22105263157894736,P(E|C),bert
12,accuracy,Component-Whole,dev,0.2185430463576159,P(E|C),bert
13,accuracy,Component-Whole,test,0.2698412698412698,P(E|C),bert
14,accuracy,Component-Whole,dev,0.23178807947019867,P(E|C),bert
15,accuracy,Component-Whole,test,0.2222222222222222,P(E|C),bert
16,accuracy,Component-Whole,dev,0.2251655629139073,P(E|C),bert
17,accuracy,Component-Whole,test,0.20212765957446807,P(E|C),bert
18,accuracy,Component-Whole,dev,0.3092105263157895,P(E|C),bert
19,accuracy,Component-Whole,test,0.2,P(E|C),bert
20,accuracy,Component-Whole,dev,0.36423841059602646,P(E),bert
21,accuracy,Component-Whole,test,0.29473684210526313,P(E),bert
22,accuracy,Component-Whole,dev,0.3443708609271523,P(E),bert
23,accuracy,Component-Whole,test,0.2631578947368421,P(E),bert
24,accuracy,Component-Whole,dev,0.304635761589404,P(E),bert
25,accuracy,Component-Whole,test,0.25396825396825395,P(E),bert
26,accuracy,Component-Whole,dev,0.2781456953642384,P(E),bert
27,accuracy,Component-Whole,test,0.26737967914438504,P(E),bert
28,accuracy,Component-Whole,dev,0.23684210526315788,P(E),bert
29,accuracy,Component-Whole,test,0.24864864864864866,P(E),bert
30,accuracy,Component-Whole,dev,0.304635761589404,probabilistic_causality_diff,bert
31,accuracy,Component-Whole,test,0.18947368421052632,probabilistic_causality_diff,bert
32,accuracy,Component-Whole,dev,0.2119205298013245,probabilistic_causality_diff,bert
33,accuracy,Component-Whole,test,0.2,probabilistic_causality_diff,bert
34,accuracy,Component-Whole,dev,0.271523178807947,probabilistic_causality_diff,bert
35,accuracy,Component-Whole,test,0.24736842105263157,probabilistic_causality_diff,bert
36,accuracy,Component-Whole,dev,0.24503311258278146,probabilistic_causality_diff,bert
37,accuracy,Component-Whole,test,0.23655913978494625,probabilistic_causality_diff,bert
38,accuracy,Component-Whole,dev,0.27631578947368424,probabilistic_causality_diff,bert
39,accuracy,Component-Whole,test,0.21621621621621623,probabilistic_causality_diff,bert
40,accuracy,Component-Whole,dev,0.304635761589404,delta_P,bert
41,accuracy,Component-Whole,test,0.18947368421052632,delta_P,bert
42,accuracy,Component-Whole,dev,0.2119205298013245,delta_P,bert
43,accuracy,Component-Whole,test,0.2,delta_P,bert
44,accuracy,Component-Whole,dev,0.271523178807947,delta_P,bert
45,accuracy,Component-Whole,test,0.24736842105263157,delta_P,bert
46,accuracy,Component-Whole,dev,0.24503311258278146,delta_P,bert
47,accuracy,Component-Whole,test,0.23655913978494625,delta_P,bert
48,accuracy,Component-Whole,dev,0.27631578947368424,delta_P,bert
49,accuracy,Component-Whole,test,0.21621621621621623,delta_P,bert
50,accuracy,Component-Whole,dev,0.2913907284768212,P(E|no C),bert
51,accuracy,Component-Whole,test,0.3368421052631579,P(E|no C),bert
52,accuracy,Component-Whole,dev,0.2980132450331126,P(E|no C),bert
53,accuracy,Component-Whole,test,0.29473684210526313,P(E|no C),bert
54,accuracy,Component-Whole,dev,0.33774834437086093,P(E|no C),bert
55,accuracy,Component-Whole,test,0.2736842105263158,P(E|no C),bert
56,accuracy,Component-Whole,dev,0.32450331125827814,P(E|no C),bert
57,accuracy,Component-Whole,test,0.2849462365591398,P(E|no C),bert
58,accuracy,Component-Whole,dev,0.2894736842105263,P(E|no C),bert
59,accuracy,Component-Whole,test,0.32432432432432434,P(E|no C),bert
60,accuracy,Component-Whole,dev,0.271523178807947,q,bert
61,accuracy,Component-Whole,test,0.22105263157894736,q,bert
62,accuracy,Component-Whole,dev,0.24503311258278146,q,bert
63,accuracy,Component-Whole,test,0.2631578947368421,q,bert
64,accuracy,Component-Whole,dev,0.2781456953642384,q,bert
65,accuracy,Component-Whole,test,0.21693121693121692,q,bert
66,accuracy,Component-Whole,dev,0.2582781456953642,q,bert
67,accuracy,Component-Whole,test,0.2192513368983957,q,bert
68,accuracy,Component-Whole,dev,0.28289473684210525,q,bert
69,accuracy,Component-Whole,test,0.2594594594594595,q,bert
70,accuracy,Component-Whole,dev,0.2980132450331126,p,bert
71,accuracy,Component-Whole,test,0.21052631578947367,p,bert
72,accuracy,Component-Whole,dev,0.2847682119205298,p,bert
73,accuracy,Component-Whole,test,0.2578947368421053,p,bert
74,accuracy,Component-Whole,dev,0.23841059602649006,p,bert
75,accuracy,Component-Whole,test,0.31746031746031744,p,bert
76,accuracy,Component-Whole,dev,0.24503311258278146,p,bert
77,accuracy,Component-Whole,test,0.23655913978494625,p,bert
78,accuracy,Component-Whole,dev,0.304635761589404,p,bert
79,accuracy,Component-Whole,test,0.27419354838709675,p,bert
80,accuracy,Component-Whole,dev,0.2251655629139073,causal_power,bert
81,accuracy,Component-Whole,test,0.2631578947368421,causal_power,bert
82,accuracy,Component-Whole,dev,0.2913907284768212,causal_power,bert
83,accuracy,Component-Whole,test,0.3157894736842105,causal_power,bert
84,accuracy,Component-Whole,dev,0.23178807947019867,causal_power,bert
85,accuracy,Component-Whole,test,0.30319148936170215,causal_power,bert
86,accuracy,Component-Whole,dev,0.25165562913907286,causal_power,bert
87,accuracy,Component-Whole,test,0.2727272727272727,causal_power,bert
88,accuracy,Component-Whole,dev,0.2781456953642384,causal_power,bert
89,accuracy,Component-Whole,test,0.25268817204301075,causal_power,bert
90,accuracy,Other,dev,0.9690265486725663,causal_dependency,bert
91,accuracy,Other,test,0.9681978798586572,causal_dependency,bert
92,accuracy,Other,dev,0.9601769911504425,causal_dependency,bert
93,accuracy,Other,test,0.9716312056737588,causal_dependency,bert
