,accuracy,balanced_accuracy,f1_weighted,relation,y_type,model
0,0.26419402985074625,0.26438148843026893,0.26296055569535925,Cause-Effect,P(E|C),bert
1,0.35096019900497516,0.3507679799874922,0.3489674903610612,Cause-Effect,P(E),bert
2,0.2343084577114428,0.23431707317073172,0.23444912189053535,Cause-Effect,probabilistic_causality_diff,bert
3,0.2343084577114428,0.23431707317073172,0.23444912189053535,Cause-Effect,delta_P,bert
4,0.33598507462686567,0.33582926829268295,0.3336150680731237,Cause-Effect,P(E|no C),bert
5,0.2472636815920398,0.24724390243902444,0.24669209121797708,Cause-Effect,q,bert
6,0.2452487562189055,0.2449468417761101,0.24364961787395162,Cause-Effect,p,bert
7,0.24624875621890546,0.24631707317073173,0.244522719921489,Cause-Effect,causal_power,bert
8,0.2672089552238806,0.2673101938711695,0.2652820090148582,Cause-Effect,PMI,bert
9,0.2672089552238806,0.2673101938711695,0.2652820090148582,Cause-Effect,PPMI,bert
10,0.2672089552238806,0.2673101938711695,0.2652820090148582,Cause-Effect,CPMI_-2,bert
11,0.26518905472636817,0.2653658536585366,0.26167933027117246,Cause-Effect,NPMI,bert
12,0.2672089552238806,0.2673101938711695,0.2652820090148582,Cause-Effect,NNEGPMI,bert
13,0.27016915422885573,0.27014634146341465,0.2701766559106664,Cause-Effect,P(C|E),bert
14,0.2622039800995025,0.2620494058786742,0.2620859842055567,Cause-Effect,causal_stength_nec,bert
15,0.3010696517412935,0.30106754221388365,0.30013085642679566,Cause-Effect,causal_stength_suf,bert
16,0.24524378109452738,0.2455853658536586,0.24359539044365025,Cause-Effect,causal_stength_0.5,bert
17,0.28217910447761196,0.28207629768605375,0.2798613182284695,Cause-Effect,causal_stength_0.7,bert
18,0.2582338308457712,0.2583658536585366,0.25707595550629103,Cause-Effect,causal_stength_0.9,bert
19,0.2622039800995025,0.2620494058786742,0.2620859842055567,Cause-Effect,causal_stength_1.0,bert
20,0.41585074626865676,0.4158048780487805,0.4160603416422909,Cause-Effect,avg_freq_uni,bert
21,0.3878258706467662,0.38699749843652287,0.3879945252169832,Cause-Effect,avg_freq_bi,bert
22,0.2522537313432836,0.25217510944340216,0.25067776110931855,Cause-Effect,P(E|C),gpt2
23,0.36189054726368164,0.362473420888055,0.3605009453764105,Cause-Effect,P(E),gpt2
24,0.2712139303482587,0.2712926829268293,0.26768600595250397,Cause-Effect,probabilistic_causality_diff,gpt2
25,0.2712139303482587,0.2712926829268293,0.26768600595250397,Cause-Effect,delta_P,gpt2
26,0.34095024875621893,0.3408292682926829,0.3367287151339292,Cause-Effect,P(E|no C),gpt2
27,0.26620895522388055,0.26634146341463416,0.26066740087252965,Cause-Effect,q,gpt2
28,0.29212437810945274,0.2916722951844903,0.28767858687169795,Cause-Effect,p,gpt2
29,0.3000746268656716,0.30007317073170736,0.29670471383157987,Cause-Effect,causal_power,gpt2
30,0.2901393034825871,0.29050906816760474,0.2850954748327572,Cause-Effect,PMI,gpt2
31,0.2901393034825871,0.29050906816760474,0.2850954748327572,Cause-Effect,PPMI,gpt2
32,0.2901393034825871,0.29050906816760474,0.2850954748327572,Cause-Effect,CPMI_-2,gpt2
33,0.3010845771144278,0.3009512195121951,0.2961652085691818,Cause-Effect,NPMI,gpt2
34,0.2901393034825871,0.29050906816760474,0.2850954748327572,Cause-Effect,NNEGPMI,gpt2
35,0.29111442786069647,0.29114634146341467,0.28779735821633917,Cause-Effect,P(C|E),gpt2
36,0.3100348258706468,0.3097066916823014,0.30500994428303224,Cause-Effect,causal_stength_nec,gpt2
37,0.3060845771144279,0.30626516572858037,0.29900390953406214,Cause-Effect,causal_stength_suf,gpt2
38,0.2841194029850746,0.2843658536585366,0.2787972548294712,Cause-Effect,causal_stength_0.5,gpt2
39,0.29406965174129346,0.29350406504065046,0.28885599967079256,Cause-Effect,causal_stength_0.7,gpt2
40,0.308044776119403,0.30773170731707317,0.2981026892501866,Cause-Effect,causal_stength_0.9,gpt2
