,model,metric,split,value
0,bert,accuracy,dev,0.9020771513353115
1,bert,accuracy,test,0.9168646080760094
2,bert,accuracy,dev,0.9050445103857567
3,bert,accuracy,test,0.9168646080760094
4,bert,accuracy,dev,0.9080118694362018
5,bert,accuracy,test,0.9142857142857143
6,bert,accuracy,dev,0.9376854599406528
7,bert,accuracy,test,0.930952380952381
8,bert,accuracy,dev,0.9258160237388724
9,bert,accuracy,test,0.9261904761904762
10,glove,accuracy,dev,0.884272997032641
11,glove,accuracy,test,0.9121140142517815
12,glove,accuracy,dev,0.8931750741839762
13,glove,accuracy,test,0.9121140142517815
14,glove,accuracy,dev,0.8902077151335311
15,glove,accuracy,test,0.9142857142857143
16,glove,accuracy,dev,0.9080118694362018
17,glove,accuracy,test,0.9142857142857143
18,glove,accuracy,dev,0.9080118694362018
19,glove,accuracy,test,0.9142857142857143
