,model,metric,split,value
0,bert,accuracy,dev,0.9020771513353115
1,bert,accuracy,test,0.9168646080760094
2,bert,accuracy,dev,0.9050445103857567
3,bert,accuracy,test,0.9168646080760094
4,bert,accuracy,dev,0.9080118694362018
5,bert,accuracy,test,0.9142857142857143
6,bert,accuracy,dev,0.9376854599406528
7,bert,accuracy,test,0.930952380952381
8,bert,accuracy,dev,0.9258160237388724
9,bert,accuracy,test,0.9261904761904762
10,glove,accuracy,dev,0.8813056379821959
11,glove,accuracy,test,0.9097387173396675
12,glove,accuracy,dev,0.8931750741839762
13,glove,accuracy,test,0.9097387173396675
14,glove,accuracy,dev,0.8902077151335311
15,glove,accuracy,test,0.9119047619047619
16,glove,accuracy,dev,0.9080118694362018
17,glove,accuracy,test,0.9119047619047619
18,glove,accuracy,dev,0.9050445103857567
19,glove,accuracy,test,0.9142857142857143
20,gpt2,accuracy,dev,0.8991097922848664
21,gpt2,accuracy,test,0.9192399049881235
22,gpt2,accuracy,dev,0.9109792284866469
23,gpt2,accuracy,test,0.9239904988123515
24,gpt2,accuracy,dev,0.9050445103857567
25,gpt2,accuracy,test,0.930952380952381
26,gpt2,accuracy,dev,0.9287833827893175
27,gpt2,accuracy,test,0.9238095238095239
28,gpt2,accuracy,dev,0.9228486646884273
29,gpt2,accuracy,test,0.9285714285714286
30,conceptnet,accuracy,dev,0.884272997032641
31,conceptnet,accuracy,test,0.9073634204275535
32,conceptnet,accuracy,dev,0.8931750741839762
33,conceptnet,accuracy,test,0.9121140142517815
34,conceptnet,accuracy,dev,0.8902077151335311
35,conceptnet,accuracy,test,0.9142857142857143
36,conceptnet,accuracy,dev,0.9080118694362018
37,conceptnet,accuracy,test,0.9119047619047619
38,conceptnet,accuracy,dev,0.9080118694362018
39,conceptnet,accuracy,test,0.9142857142857143
