,model,metric,split,value
0,bert,accuracy,,0.8901960784313725
1,bert,accuracy,,0.8941176470588236
2,bert,accuracy,,0.8823529411764706
3,bert,accuracy,,0.8470588235294118
4,bert,accuracy,,0.8818897637795275
5,bert,balanced_accuracy,,0.830939171785219
6,bert,balanced_accuracy,,0.8333663562512383
7,bert,balanced_accuracy,,0.8416385971864474
8,bert,balanced_accuracy,,0.8431246284921736
9,bert,balanced_accuracy,,0.8181184668989547
10,bert,f1,,0.7200000000000001
11,bert,f1,,0.7272727272727272
12,bert,f1,,0.7169811320754716
13,bert,f1,,0.6776859504132232
14,bert,f1,,0.7000000000000001
15,bert,precision,,0.7058823529411765
16,bert,precision,,0.72
17,bert,precision,,0.6666666666666666
18,bert,precision,,0.5694444444444444
19,bert,precision,,0.6862745098039216
20,bert,recall,,0.7346938775510204
21,bert,recall,,0.7346938775510204
22,bert,recall,,0.7755102040816326
23,bert,recall,,0.8367346938775511
24,bert,recall,,0.7142857142857143
25,bert,roc_auc,,0.9145036655438875
26,bert,roc_auc,,0.9149990093124629
27,bert,roc_auc,,0.9349118288091935
28,bert,roc_auc,,0.9376857539132157
29,bert,roc_auc,,0.9377799900447985
30,glove,accuracy,,0.6823529411764706
31,glove,accuracy,,0.6901960784313725
32,glove,accuracy,,0.6470588235294118
33,glove,accuracy,,0.5843137254901961
34,glove,accuracy,,0.6417322834645669
35,glove,balanced_accuracy,,0.6400832177531206
36,glove,balanced_accuracy,,0.6527144838517931
37,glove,balanced_accuracy,,0.594907866059045
38,glove,balanced_accuracy,,0.5094115316029324
39,glove,balanced_accuracy,,0.6227476356396218
40,glove,f1,,0.40875912408759124
41,glove,f1,,0.4233576642335766
42,glove,f1,,0.35714285714285715
43,glove,f1,,0.2638888888888889
44,glove,f1,,0.3892617449664429
45,glove,precision,,0.3181818181818182
46,glove,precision,,0.32954545454545453
47,glove,precision,,0.27472527472527475
48,glove,precision,,0.2
49,glove,precision,,0.29
50,glove,recall,,0.5714285714285714
51,glove,recall,,0.5918367346938775
52,glove,recall,,0.5102040816326531
53,glove,recall,,0.3877551020408163
54,glove,recall,,0.5918367346938775
55,glove,roc_auc,,0.6978403011690113
56,glove,roc_auc,,0.7081434515553794
57,glove,roc_auc,,0.6426590053497127
58,glove,roc_auc,,0.5597384584901922
59,glove,roc_auc,,0.6630164260826282
60,gpt2,accuracy,,0.8745098039215686
61,gpt2,accuracy,,0.8862745098039215
62,gpt2,accuracy,,0.8823529411764706
63,gpt2,accuracy,,0.8313725490196079
64,gpt2,accuracy,,0.905511811023622
65,gpt2,balanced_accuracy,,0.805676639587874
66,gpt2,balanced_accuracy,,0.8285119873191995
67,gpt2,balanced_accuracy,,0.8027541113532792
68,gpt2,balanced_accuracy,,0.8178620962948286
69,gpt2,balanced_accuracy,,0.8871080139372822
70,gpt2,f1,,0.6799999999999999
71,gpt2,f1,,0.7128712871287128
72,gpt2,f1,,0.6875000000000001
73,gpt2,f1,,0.6446280991735536
74,gpt2,f1,,0.7777777777777777
75,gpt2,precision,,0.6666666666666666
76,gpt2,precision,,0.6923076923076923
77,gpt2,precision,,0.7021276595744681
78,gpt2,precision,,0.5416666666666666
79,gpt2,precision,,0.711864406779661
80,gpt2,recall,,0.6938775510204082
81,gpt2,recall,,0.7346938775510204
82,gpt2,recall,,0.673469387755102
83,gpt2,recall,,0.7959183673469388
84,gpt2,recall,,0.8571428571428571
85,gpt2,roc_auc,,0.8866653457499504
86,gpt2,roc_auc,,0.9176738656627699
87,gpt2,roc_auc,,0.9158906280958985
88,gpt2,roc_auc,,0.9059837527243908
89,gpt2,roc_auc,,0.9479342956694874
90,conceptnet,accuracy,,0.6784313725490196
91,conceptnet,accuracy,,0.7058823529411765
92,conceptnet,accuracy,,0.5843137254901961
93,conceptnet,accuracy,,0.5843137254901961
94,conceptnet,accuracy,,0.6220472440944882
95,conceptnet,balanced_accuracy,,0.6298791361204676
96,conceptnet,balanced_accuracy,,0.6779770160491381
97,conceptnet,balanced_accuracy,,0.517188428769566
98,conceptnet,balanced_accuracy,,0.6027342976025362
99,conceptnet,balanced_accuracy,,0.6260826281732206
100,conceptnet,f1,,0.3970588235294118
101,conceptnet,f1,,0.45255474452554745
102,conceptnet,f1,,0.273972602739726
103,conceptnet,f1,,0.3690476190476191
104,conceptnet,f1,,0.3924050632911392
105,conceptnet,precision,,0.3103448275862069
106,conceptnet,precision,,0.3522727272727273
107,conceptnet,precision,,0.20618556701030927
108,conceptnet,precision,,0.2605042016806723
109,conceptnet,precision,,0.28440366972477066
110,conceptnet,recall,,0.5510204081632653
111,conceptnet,recall,,0.6326530612244898
112,conceptnet,recall,,0.40816326530612246
113,conceptnet,recall,,0.6326530612244898
114,conceptnet,recall,,0.6326530612244898
115,conceptnet,roc_auc,,0.6640578561521697
116,conceptnet,roc_auc,,0.7270655835149594
117,conceptnet,roc_auc,,0.5866851595006934
118,conceptnet,roc_auc,,0.6060035664751338
119,conceptnet,roc_auc,,0.6748631159780986
