,model,metric,value
0,bert,accuracy,0.9188007495315428
1,bert,accuracy,0.9256714553404123
2,bert,accuracy,0.910625
3,bert,accuracy,0.9199499687304565
4,bert,accuracy,0.8980612883051907
5,bert,balanced_accuracy,0.9024413646055437
6,bert,balanced_accuracy,0.8871961620469083
7,bert,balanced_accuracy,0.8998982926681816
8,bert,balanced_accuracy,0.8835471765546818
9,bert,balanced_accuracy,0.7939045746962117
10,bert,f1,0.731404958677686
11,bert,f1,0.7384615384615385
12,bert,f1,0.7134268537074149
13,bert,f1,0.7229437229437229
14,bert,f1,0.6164705882352941
15,bert,precision,0.6254416961130742
16,bert,precision,0.6614173228346457
17,bert,precision,0.5973154362416108
18,bert,precision,0.6374045801526718
19,bert,precision,0.5822222222222222
20,bert,recall,0.8805970149253731
21,bert,recall,0.835820895522388
22,bert,recall,0.8855721393034826
23,bert,recall,0.835
24,bert,recall,0.655
25,bert,roc_auc,0.9670042643923241
26,bert,roc_auc,0.959907604832978
27,bert,roc_auc,0.9570731048118948
28,bert,roc_auc,0.9487741243745532
29,bert,roc_auc,0.8905146533238028
30,glove,accuracy,0.5827607745159276
31,glove,accuracy,0.5796377264209869
32,glove,accuracy,0.57875
33,glove,accuracy,0.5653533458411507
34,glove,accuracy,0.5822388993120701
35,glove,balanced_accuracy,0.6186904761904761
36,glove,balanced_accuracy,0.5764267945984364
37,glove,balanced_accuracy,0.6014815130921518
38,glove,balanced_accuracy,0.6059113652609007
39,glove,balanced_accuracy,0.5469978556111508
40,glove,f1,0.2863247863247863
41,glove,f1,0.25470653377630126
42,glove,f1,0.2737068965517241
43,glove,f1,0.27528675703858185
44,glove,f1,0.2304147465437788
45,glove,precision,0.18231292517006803
46,glove,precision,0.16381766381766383
47,glove,precision,0.1746905089408528
48,glove,precision,0.17391304347826086
49,glove,precision,0.1497005988023952
50,glove,recall,0.6666666666666666
51,glove,recall,0.572139303482587
52,glove,recall,0.6318407960199005
53,glove,recall,0.66
54,glove,recall,0.5
55,glove,roc_auc,0.6574164889836532
56,glove,roc_auc,0.6018159203980099
57,glove,roc_auc,0.6462469638938971
58,glove,roc_auc,0.6442923516797712
59,glove,roc_auc,0.5756576125804146
