,model,metric,split,value
0,bert,accuracy,dev,0.9475218658892128
1,bert,accuracy,test,0.9398320895522388
2,bert,accuracy,dev,0.9364431486880467
3,bert,accuracy,test,0.9416977611940298
4,bert,accuracy,dev,0.9457725947521866
5,bert,accuracy,test,0.948670088660756
6,bert,accuracy,dev,0.9486880466472303
7,bert,accuracy,test,0.94493700419972
8,bert,accuracy,dev,0.9510204081632653
9,bert,accuracy,test,0.9384041063929072
10,glove,accuracy,dev,0.9469387755102041
11,glove,accuracy,test,0.9379664179104478
12,glove,accuracy,dev,0.9358600583090378
13,glove,accuracy,test,0.9402985074626866
14,glove,accuracy,dev,0.9492711370262391
15,glove,accuracy,test,0.9435370975268316
16,glove,accuracy,dev,0.9504373177842566
17,glove,accuracy,test,0.9463369108726085
18,glove,accuracy,dev,0.9475218658892128
19,glove,accuracy,test,0.94493700419972
20,gpt2,accuracy,dev,0.9481049562682216
21,gpt2,accuracy,test,0.9430970149253731
22,gpt2,accuracy,dev,0.9416909620991254
23,gpt2,accuracy,test,0.9393656716417911
24,gpt2,accuracy,dev,0.9486880466472303
25,gpt2,accuracy,test,0.9538030797946804
26,gpt2,accuracy,dev,0.9516034985422741
27,gpt2,accuracy,test,0.94493700419972
28,gpt2,accuracy,dev,0.9516034985422741
29,gpt2,accuracy,test,0.9374708352776482
30,conceptnet,accuracy,dev,0.9434402332361516
31,conceptnet,accuracy,test,0.933768656716418
32,conceptnet,accuracy,dev,0.926530612244898
33,conceptnet,accuracy,test,0.9342350746268657
34,conceptnet,accuracy,dev,0.9446064139941691
35,conceptnet,accuracy,test,0.9463369108726085
36,conceptnet,accuracy,dev,0.9428571428571428
37,conceptnet,accuracy,test,0.9430704619692021
38,conceptnet,accuracy,dev,0.9486880466472303
39,conceptnet,accuracy,test,0.9416705552963136
