,model,metric,split,value
0,bert,accuracy,,0.9444962686567164
1,bert,accuracy,,0.949160447761194
2,bert,accuracy,,0.949603359776015
3,bert,accuracy,,0.918338777414839
4,bert,accuracy,,0.9454036397573495
5,bert,balanced_accuracy,,0.8505348835347154
6,bert,balanced_accuracy,,0.860131215841679
7,bert,balanced_accuracy,,0.8760450006208916
8,bert,balanced_accuracy,,0.7613983680565293
9,bert,balanced_accuracy,,0.8510611237737391
10,bert,f1,,0.7643564356435644
11,bert,f1,,0.7841584158415842
12,bert,f1,,0.7931034482758621
13,bert,f1,,0.6268656716417911
14,bert,f1,,0.7673956262425449
15,bert,precision,,0.8075313807531381
16,bert,precision,,0.8319327731092437
17,bert,precision,,0.80859375
18,bert,precision,,0.7241379310344828
19,bert,precision,,0.8143459915611815
20,bert,recall,,0.7255639097744361
21,bert,recall,,0.7415730337078652
22,bert,recall,,0.7781954887218046
23,bert,recall,,0.5526315789473685
24,bert,recall,,0.7255639097744361
25,bert,roc_auc,,0.9685095326174862
26,bert,roc_auc,,0.9695545725009428
27,bert,roc_auc,,0.9575230030323545
28,bert,roc_auc,,0.8993514687090662
29,bert,roc_auc,,0.9602629375783625
30,glove,accuracy,,0.9477611940298507
31,glove,accuracy,,0.9533582089552238
32,glove,accuracy,,0.947736817545497
33,glove,accuracy,,0.9216052263182455
34,glove,accuracy,,0.9519365375641624
35,glove,balanced_accuracy,,0.8394908997733952
36,glove,balanced_accuracy,,0.849678445363647
37,glove,balanced_accuracy,,0.845939769509015
38,glove,balanced_accuracy,,0.7422899283370921
39,glove,balanced_accuracy,,0.8547904791280279
40,glove,f1,,0.7676348547717842
41,glove,f1,,0.7916666666666666
42,glove,f1,,0.7714285714285714
43,glove,f1,,0.6146788990825688
44,glove,f1,,0.7893660531697341
45,glove,precision,,0.8564814814814815
46,glove,precision,,0.892018779342723
47,glove,precision,,0.84375
48,glove,precision,,0.788235294117647
49,glove,precision,,0.8654708520179372
50,glove,recall,,0.6954887218045113
51,glove,recall,,0.7116104868913857
52,glove,recall,,0.7105263157894737
53,glove,recall,,0.5037593984962406
54,glove,recall,,0.7255639097744361
55,glove,roc_auc,,0.9685695869065636
56,glove,roc_auc,,0.9662522273370326
57,glove,roc_auc,,0.9601207333731238
58,glove,roc_auc,,0.9206160045825805
59,glove,roc_auc,,0.9694020613601132
60,gpt2,accuracy,,0.9482276119402985
61,gpt2,accuracy,,0.9472947761194029
62,gpt2,accuracy,,0.9505366308912739
63,gpt2,accuracy,,0.9141390573961736
64,gpt2,accuracy,,0.9412039197386841
65,gpt2,balanced_accuracy,,0.857505184686957
66,gpt2,balanced_accuracy,,0.8494280258361119
67,gpt2,balanced_accuracy,,0.8717378155030624
68,gpt2,balanced_accuracy,,0.7477077082690744
69,gpt2,balanced_accuracy,,0.8567302646600519
70,gpt2,f1,,0.7793240556660039
71,gpt2,f1,,0.772635814889336
72,gpt2,f1,,0.7937743190661478
73,gpt2,f1,,0.603448275862069
74,gpt2,f1,,0.7586206896551724
75,gpt2,precision,,0.8270042194092827
76,gpt2,precision,,0.8347826086956521
77,gpt2,precision,,0.8225806451612904
78,gpt2,precision,,0.7070707070707071
79,gpt2,precision,,0.7734375
80,gpt2,recall,,0.7368421052631579
81,gpt2,recall,,0.7191011235955056
82,gpt2,recall,,0.7669172932330827
83,gpt2,recall,,0.5263157894736842
84,gpt2,recall,,0.7443609022556391
85,gpt2,roc_auc,,0.9653166462482085
86,gpt2,roc_auc,,0.968910066465932
87,gpt2,roc_auc,,0.9661013214976705
88,gpt2,roc_auc,,0.9208162921955928
89,gpt2,roc_auc,,0.962490135835059
90,conceptnet,accuracy,,0.9207089552238806
91,conceptnet,accuracy,,0.9244402985074627
92,conceptnet,accuracy,,0.9290713952403173
93,conceptnet,accuracy,,0.8978068128791414
94,conceptnet,accuracy,,0.922071861875875
95,conceptnet,balanced_accuracy,,0.6869049620857255
96,conceptnet,balanced_accuracy,,0.7062668733874878
97,conceptnet,balanced_accuracy,,0.7175123477313422
98,conceptnet,balanced_accuracy,,0.5980257649985379
99,conceptnet,balanced_accuracy,,0.7022233927920494
100,conceptnet,f1,,0.5405405405405406
101,conceptnet,f1,,0.578125
102,conceptnet,f1,,0.6041666666666666
103,conceptnet,f1,,0.3261538461538461
104,conceptnet,f1,,0.5662337662337662
105,conceptnet,precision,,0.9615384615384616
106,conceptnet,precision,,0.9487179487179487
107,conceptnet,precision,,0.9830508474576272
108,conceptnet,precision,,0.8983050847457628
109,conceptnet,precision,,0.9159663865546218
110,conceptnet,recall,,0.37593984962406013
111,conceptnet,recall,,0.4157303370786517
112,conceptnet,recall,,0.43609022556390975
113,conceptnet,recall,,0.19924812030075187
114,conceptnet,recall,,0.40977443609022557
115,conceptnet,roc_auc,,0.9641195640859337
116,conceptnet,roc_auc,,0.9647257656751649
117,conceptnet,roc_auc,,0.9455217692606585
118,conceptnet,roc_auc,,0.9116851799183628
119,conceptnet,roc_auc,,0.9619253247663644
