,accuracy,balanced_accuracy,f1_weighted,relation,y_type,model
0,0.2694764862466726,0.24400000000000005,0.2579479973818997,Cause-Effect,P(E|C),bert
1,0.22188063878033484,0.22015151515151515,0.21111032105383964,Cause-Effect,P(E),bert
2,0.20634920634920634,0.20622222222222222,0.20295442885806464,Cause-Effect,probabilistic_causality_diff,bert
3,0.20634920634920634,0.20622222222222222,0.20295442885806464,Cause-Effect,delta_P,bert
4,0.26252096299512717,0.26133333333333336,0.25509230761229185,Cause-Effect,P(E|no C),bert
5,0.23992743764172336,0.23955555555555558,0.22775296299356446,Cause-Effect,q,bert
6,0.24824520717377857,0.24900000000000003,0.23076794003693682,Cause-Effect,p,bert
7,0.2451428571428571,0.24444444444444446,0.2301600926269622,Cause-Effect,causal_power,bert
8,0.23416149068322983,0.18020512820512818,0.12039285011393504,Cause-Effect,P(E|C),glove
9,0.250610315048005,0.22924242424242425,0.176271937814907,Cause-Effect,P(E),glove
10,0.17095691609977323,0.17066666666666666,0.10668194829479842,Cause-Effect,probabilistic_causality_diff,glove
11,0.17095691609977323,0.17066666666666666,0.10668194829479842,Cause-Effect,delta_P,glove
12,0.19981034399575434,0.20311111111111108,0.14005614626578172,Cause-Effect,P(E|no C),glove
13,0.17095691609977323,0.17066666666666666,0.10656071817994146,Cause-Effect,q,glove
14,0.23477891156462585,0.2347777777777778,0.16160209808251624,Cause-Effect,p,glove
15,0.22364625850340136,0.22266666666666665,0.14716893883142596,Cause-Effect,causal_power,glove
