,accuracy,balanced_accuracy,f1_weighted,relation,y_type,model
0,0.20728344671201815,0.2071111111111111,0.2025373986575346,Cause-Effect,P(E|C),bert
1,0.26604081040371746,0.26610101010101006,0.2574876367391569,Cause-Effect,P(E),bert
2,0.22142403628117915,0.22088888888888886,0.21039142619397389,Cause-Effect,probabilistic_causality_diff,bert
3,0.22142403628117915,0.22088888888888886,0.21039142619397389,Cause-Effect,delta_P,bert
4,0.25421739130434784,0.25422222222222224,0.24898902015559704,Cause-Effect,P(E|no C),bert
5,0.22142403628117915,0.22088888888888886,0.21039142619397389,Cause-Effect,q,bert
6,0.23313234384662956,0.23122222222222222,0.2292484762905457,Cause-Effect,p,bert
7,0.2573877551020408,0.2573333333333333,0.25541976180433856,Cause-Effect,causal_power,bert
8,0.15867573696145126,0.15866666666666668,0.08556056908817775,Cause-Effect,P(E|C),glove
9,0.22155900287959773,0.22315151515151516,0.1571657767033649,Cause-Effect,P(E),glove
10,0.22695691609977323,0.22977777777777778,0.1429282815803049,Cause-Effect,probabilistic_causality_diff,glove
11,0.22695691609977323,0.22977777777777778,0.1429282815803049,Cause-Effect,delta_P,glove
12,0.2504782608695652,0.25377777777777777,0.1751041239321355,Cause-Effect,P(E|no C),glove
13,0.22695691609977323,0.22977777777777778,0.1429282815803049,Cause-Effect,q,glove
14,0.23414502164502166,0.22888888888888892,0.15349178078804185,Cause-Effect,p,glove
15,0.2166984126984127,0.21555555555555556,0.15867707847858817,Cause-Effect,causal_power,glove
